"id"  , "category_id", "category_name", "question_subcategory_id", "subcategory_name"                                       , "question_topic_id", "topic_name"                                                       , "pregunta"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , "respuesta"                                                                                          , "alternativas", "source", "answer_ai", "discussion_ai", "justification_ai", "source_ai"
"172" , "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "La cúpula óptica se forma por evaginación, ¿a partir de qué estructura se evagina?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "Telencéfalo"                                                                                        , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"172" , "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "La cúpula óptica se forma por evaginación, ¿a partir de qué estructura se evagina?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "Diencéfalo"                                                                                         , "1"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"172" , "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "La cúpula óptica se forma por evaginación, ¿a partir de qué estructura se evagina?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "Mesencéfalo"                                                                                        , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"172" , "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "La cúpula óptica se forma por evaginación, ¿a partir de qué estructura se evagina?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "Metencéfalo"                                                                                        , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"172" , "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "La cúpula óptica se forma por evaginación, ¿a partir de qué estructura se evagina?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "Milencéfalo"                                                                                        , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"859" , "5"          , "FISIOLOGIA"   , "10"                     , "INTEGRACIÓN FISIOLÓGICA"                                , "11"               , "CONCEPTOS BÁSICOS SISTEMA ENDOCRINO"                              , "En el eje hipotálamo-hipofisario, ¿qué efectos hormonales producen los anticonceptivos orales?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "Aumento de LH y disminución de FSH"                                                                 , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"859" , "5"          , "FISIOLOGIA"   , "10"                     , "INTEGRACIÓN FISIOLÓGICA"                                , "11"               , "CONCEPTOS BÁSICOS SISTEMA ENDOCRINO"                              , "En el eje hipotálamo-hipofisario, ¿qué efectos hormonales producen los anticonceptivos orales?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "Disminución de LH y aumento de FSH"                                                                 , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"859" , "5"          , "FISIOLOGIA"   , "10"                     , "INTEGRACIÓN FISIOLÓGICA"                                , "11"               , "CONCEPTOS BÁSICOS SISTEMA ENDOCRINO"                              , "En el eje hipotálamo-hipofisario, ¿qué efectos hormonales producen los anticonceptivos orales?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "Supresión de LH y FSH"                                                                              , "1"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"859" , "5"          , "FISIOLOGIA"   , "10"                     , "INTEGRACIÓN FISIOLÓGICA"                                , "11"               , "CONCEPTOS BÁSICOS SISTEMA ENDOCRINO"                              , "En el eje hipotálamo-hipofisario, ¿qué efectos hormonales producen los anticonceptivos orales?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "Aumento de LH y FSH"                                                                                , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"859" , "5"          , "FISIOLOGIA"   , "10"                     , "INTEGRACIÓN FISIOLÓGICA"                                , "11"               , "CONCEPTOS BÁSICOS SISTEMA ENDOCRINO"                              , "En el eje hipotálamo-hipofisario, ¿qué efectos hormonales producen los anticonceptivos orales?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "Aumento de gonadotropinas plasmáticas"                                                              , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"929" , "6"          , "HISTOLOGIA"   , "11"                     , "TEJIDOS BÁSICOS"                                        , "14"               , "TEJIDO EPITELIAL"                                                 , "¿Cuál enfermedad es causada por una falla de adherir la apropiada molécula de azúcar a las glucoproteínas?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "Enfermedad de Fabry"                                                                                , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"929" , "6"          , "HISTOLOGIA"   , "11"                     , "TEJIDOS BÁSICOS"                                        , "14"               , "TEJIDO EPITELIAL"                                                 , "¿Cuál enfermedad es causada por una falla de adherir la apropiada molécula de azúcar a las glucoproteínas?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "Enfermedad de Hunter"                                                                               , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"929" , "6"          , "HISTOLOGIA"   , "11"                     , "TEJIDOS BÁSICOS"                                        , "14"               , "TEJIDO EPITELIAL"                                                 , "¿Cuál enfermedad es causada por una falla de adherir la apropiada molécula de azúcar a las glucoproteínas?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "Enfermedad de Hurler"                                                                               , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"929" , "6"          , "HISTOLOGIA"   , "11"                     , "TEJIDOS BÁSICOS"                                        , "14"               , "TEJIDO EPITELIAL"                                                 , "¿Cuál enfermedad es causada por una falla de adherir la apropiada molécula de azúcar a las glucoproteínas?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "Enfermedad de la Célula I"                                                                          , "1"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"929" , "6"          , "HISTOLOGIA"   , "11"                     , "TEJIDOS BÁSICOS"                                        , "14"               , "TEJIDO EPITELIAL"                                                 , "¿Cuál enfermedad es causada por una falla de adherir la apropiada molécula de azúcar a las glucoproteínas?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "Enfermedad de Von Gierke"                                                                           , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1001", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "¿Cuál de los siguientes síntomas caracteriza al síndrome de DiGeorge?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , "Llanto parecido al maullido de gato"                                                                , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1001", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "¿Cuál de los siguientes síntomas caracteriza al síndrome de DiGeorge?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , "Casco de guerrero griego"                                                                           , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1001", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "¿Cuál de los siguientes síntomas caracteriza al síndrome de DiGeorge?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , "Ausencia del tipo"                                                                                  , "1"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1001", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "¿Cuál de los siguientes síntomas caracteriza al síndrome de DiGeorge?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , "Sellado genómico materno del cromosoma 15q11-13"                                                    , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1001", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "¿Cuál de los siguientes síntomas caracteriza al síndrome de DiGeorge?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , "Sellado genómico paterno del cromosoma 15q11-13"                                                    , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1002", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "¿Cuál de los siguientes síntomas caracteriza al síndrome de Prader-Willi?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "Llanto parecido al maullido de gato"                                                                , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1002", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "¿Cuál de los siguientes síntomas caracteriza al síndrome de Prader-Willi?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "Casco de guerrero griego"                                                                           , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1002", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "¿Cuál de los siguientes síntomas caracteriza al síndrome de Prader-Willi?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "Ausencia del tipo"                                                                                  , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1002", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "¿Cuál de los siguientes síntomas caracteriza al síndrome de Prader-Willi?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "Sellado genómico materno del cromosoma 15q11-13"                                                    , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1002", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "¿Cuál de los siguientes síntomas caracteriza al síndrome de Prader-Willi?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , "Sellado genómico paterno del cromosoma 15q11-13"                                                    , "1"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1003", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "La leucemia mieloide crónica se debe a una translocación recíproca entre la banda q34 del cromosoma 9 y la banda q11 del cromosoma 22,  Esto se conoce como:"                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , "Cromosoma Chicago"                                                                                  , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1003", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "La leucemia mieloide crónica se debe a una translocación recíproca entre la banda q34 del cromosoma 9 y la banda q11 del cromosoma 22,  Esto se conoce como:"                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , "Cromosoma Boston"                                                                                   , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
"1003", "8"          , "PATOLOGIA"    , "1"                      , "ADAPTACION, LESIONES Y MUERTE CELULAR"                  , "22"               , "LESIÓN E INJURIA CELULAR"                                         , "La leucemia mieloide crónica se debe a una translocación recíproca entre la banda q34 del cromosoma 9 y la banda q11 del cromosoma 22,  Esto se conoce como:"                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , "Cromosoma St. Louis"                                                                                , "0"           , "ENCIB" , "NULL"     , "NULL"         , "NULL"            , "NULL"
